search_board_type Mt.Jade
Pseudo-terminal will not be allocated because stdin is not a terminal.
Setting large buffer to 32767
Event_log        | 0x0        | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
FAN3_1_Speed     | na         | RPM        | na    | 500.000   | na        | na        | na        | na        | 23100.000 
FAN3_1_Failure   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
FAN3_1_Presence  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
TS1_Temp         | 36.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS2_Temp         | 34.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS4_Temp         | 34.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS3_Temp         | 35.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS6_Temp         | 40.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
TS5_Temp         | 37.000     | degrees C  | ok    | na        | na        | na        | na        | 50.000    | na        
S0_SOC_Temp      | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S0_SOC_VRD_Temp  | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S0_DIMM_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S0_Core_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S0_DIMMG0_Temp   | na         | degrees C  | na    | na        | na        | na        | na        | 85.000    | na        
S0_CPU_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | 500.000   | na        
S0_MEM_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
Watchdog2        | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_CPU_VCORE     | na         | Volts      | na    | 0.720     | na        | na        | na        | 1.120     | na        
S0_DIMM_VR1_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S0_DIMM_VR2_Volt | na         | Volts      | na    | 1.141     | na        | na        | na        | 1.260     | na        
S0_DIMM_DDR_Volt | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S0_CPU_PROC_HOT  | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S0_Memory_Status | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S0_ACPI_State    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S0_0V8_VDDC_SOC  | na         | Volts      | na    | 0.560     | na        | na        | na        | 0.960     | na        
S0_0V75_PCP      | na         | Volts      | na    | 0.504     | na        | na        | na        | 1.323     | na        
S0_1V2_VDDQ0123  | na         | Volts      | na    | 0.840     | na        | na        | na        | 1.442     | na        
S0_0V6_VTT0123   | na         | Volts      | na    | 0.420     | na        | na        | na        | 0.720     | na        
S0_2V5_VPP0123   | na         | Volts      | na    | 1.755     | na        | na        | na        | 3.000     | na        
S0_1V2_VDDQ4567  | na         | Volts      | na    | 0.840     | na        | na        | na        | 1.442     | na        
S0_0V6_VTT4567   | na         | Volts      | na    | 0.420     | na        | na        | na        | 0.720     | na        
S0_2V5_VPP4567   | na         | Volts      | na    | 1.755     | na        | na        | na        | 3.000     | na        
S0_0V85_RCA      | na         | Volts      | na    | 0.630     | na        | na        | na        | 1.080     | na        
S0_1V8_VDDH      | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S0_1V5_VDDH      | na         | Volts      | na    | 1.053     | na        | na        | na        | 1.800     | na        
S0_1V8_SOC       | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S0_1V8_PCP       | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S0_3V3_SOC       | na         | Volts      | na    | 2.320     | na        | na        | na        | 3.960     | na        
Sys_Boot_Restart | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
S0_DIMM_VR1_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S0_DIMM_VR2_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S0_SoC_Error     | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S0_PCIE_Status   | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_0V8_VDDC_SOC  | na         | Volts      | na    | 0.560     | na        | na        | na        | 0.960     | na        
S1_0V75_PCP      | na         | Volts      | na    | 0.504     | na        | na        | na        | 1.323     | na        
S1_1V2_VDDQ0123  | na         | Volts      | na    | 0.840     | na        | na        | na        | 1.442     | na        
S1_0V6_VTT0123   | na         | Volts      | na    | 0.420     | na        | na        | na        | 0.720     | na        
S1_2V5_VPP0123   | na         | Volts      | na    | 1.755     | na        | na        | na        | 3.000     | na        
S1_1V2_VDDQ4567  | na         | Volts      | na    | 0.840     | na        | na        | na        | 1.442     | na        
S1_0V6_VTT4567   | na         | Volts      | na    | 0.420     | na        | na        | na        | 0.720     | na        
S1_2V5_VPP4567   | na         | Volts      | na    | 1.755     | na        | na        | na        | 3.000     | na        
S1_0V85_RCA      | na         | Volts      | na    | 0.630     | na        | na        | na        | 1.080     | na        
S1_1V8_VDDH      | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S1_1V5_VDDH      | na         | Volts      | na    | 1.053     | na        | na        | na        | 1.800     | na        
S1_1V8_SOC       | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S1_1V8_PCP       | na         | Volts      | na    | 1.265     | na        | na        | na        | 2.156     | na        
S1_3V3_SOC       | na         | Volts      | na    | 2.320     | na        | na        | na        | 3.960     | na        
3V3_SB           | 3.300      | Volts      | ok    | 2.320     | na        | na        | na        | 3.960     | na        
VBAT_RTC         | 3.222      | Volts      | ok    | 2.106     | na        | na        | na        | 3.564     | na        
S1_ACPI_State    | na         | discrete   | na    | na        | na        | na        | na        | na        | na        
S1_DIMM_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_Core_VRD_Temp | na         | degrees C  | na    | na        | na        | na        | na        | 105.000   | na        
S1_DIMM_VR2_Pwr  | na         | Watts      | na    | na        | na        | na        | na        | 79.950    | na        
S1_DIMM_DDR_Volt | na         | Volts      | na    | na        | na        | na        | na        | na        | na        
S1_MEM_Pwr       | na         | Watts      | na    | na        | na        | na        | na        | na        | na        
